#Initial States of Connected Instruments
#_______________
#Type = Voltmeter 181
#Resource Address = GPIB0::9
#ID = NONE
#Initial Voltage = 0.000047 V
#_______________
#Type = Lock-in Amplifier
#Resource Address = GPIB0::24
#ID = Stanford_Research_Systems,SR830,s/n83855,ver1.07 
#Time Constant = 0.3
#Sensitivity = 2 mV/nA
#Reference Frequency = 408.200000 Hz
#Sine Amplitude = 1.000000 V
#Reference Source = Internal
#Filter Status = Both
#
#_______________
#Type = Gaussmeter 455
#Resource Address = GPIB0::12
#ID = LSCI,MODEL455,4550271,06062006
#Initial Field = -0.000380 T
#_______________
#Type = FSP38
#Resource Address = GPIB0::20
#ID = Rohde&Schwarz,FSP-38,100037/038,3.50
#Reference Level = 0.00 W
#RES Bandwidth = 1.00e+06 Hz
#Range = (1.10e+10, 1.11e+10) Hz
#Sweep Count = 15
#Sweep Points = 125
#Amplitude Unit = W
#
#_______________
#Indicies of Loops
#__Loop 1__
#(0, 124)(125, 249)(250, 374)(375, 499)(500, 624)(625, 749)(750, 874)(875, 999)(1000, 1124)(1125, 1249)
#(1250, 1374)(1375, 1499)(1500, 1624)(1625, 1749)(1750, 1874)(1875, 1999)(2000, 2124)(2125, 2249)(2250, 2374)(2375, 2499)
#(2500, 2624)(2625, 2749)(2750, 2874)(2875, 2999)(3000, 3124)(3125, 3249)(3250, 3374)(3375, 3499)(3500, 3624)
#__Loop 2__
#(0, 3624)
#__Loop 3__
#(0, 3624)
#_______________
#__SWEEP 1__
#
#Name = SpecAnalyzer
#Class Type = GASPSD
#Instrument Type = FSP38 Address = GPIB0::20
#Delay = 0.0 seconds
#Comment=  First instance of the S
#Type = FSP38
#Resource Address = GPIB0::20
#ID = Rohde&Schwarz,FSP-38,100037/038,3.50
#Reference Level = 0.00 W
#RES Bandwidth = 1.00e+06 Hz
#Range = (1.10e+10, 1.11e+10) Hz
#Sweep Count = 15
#Sweep Points = 125
#Amplitude Unit = W
#
#_______________
#__SWEEP 2__
#
#Name = SetField
#Class Type = setBField
#Instrument Type = Lock-in Amplifier Address = GPIB0::24
#Measurement Type = AuxOut  Port = 4
#Delay = 0.0 seconds
#Delay 2 = 1 seconds
#Calibration Factor = -0.059737 T/V
#Comment=     None
#
#Type = Lock-in Amplifier
#Resource Address = GPIB0::24
#ID = Stanford_Research_Systems,SR830,s/n83855,ver1.07 
#Time Constant = 0.3
#Sensitivity = 2 mV/nA
#Reference Frequency = 408.200000 Hz
#Sine Amplitude = 1.000000 V
#Reference Source = Internal
#Filter Status = Both
#
#_______________
#
#
SpecAnalyzer (GHz)	SetField (T)	None	 Sweep 1 (W)
1.105700000e+10	-6.209200000e-01	0.000000000e+00	-7.881282000e-15
1.105800000e+10	-6.209200000e-01	0.000000000e+00	-1.202683800e-14
1.105900000e+10	-6.209200000e-01	0.000000000e+00	1.048076500e-14
1.106000000e+10	-6.209200000e-01	0.000000000e+00	-7.906349100e-14
1.106100000e+10	-6.209200000e-01	0.000000000e+00	-4.789051100e-14
1.106200000e+10	-6.209200000e-01	0.000000000e+00	3.626179200e-14
1.106300000e+10	-6.209200000e-01	0.000000000e+00	2.333159700e-14
1.106400000e+10	-6.209200000e-01	0.000000000e+00	3.300484900e-14
1.106500000e+10	-6.209200000e-01	0.000000000e+00	-3.033814500e-14
1.106600000e+10	-6.209200000e-01	0.000000000e+00	-9.008288900e-14
1.106700000e+10	-6.209200000e-01	0.000000000e+00	-7.372600000e-17
1.106800000e+10	-6.209200000e-01	0.000000000e+00	5.781399000e-15
1.106900000e+10	-6.209200000e-01	0.000000000e+00	-8.102026000e-15
1.107000000e+10	-6.209200000e-01	0.000000000e+00	-6.299604900e-14
1.107100000e+10	-6.209200000e-01	0.000000000e+00	-4.431524500e-14
1.107200000e+10	-6.209200000e-01	0.000000000e+00	-3.240376700e-14
1.107300000e+10	-6.209200000e-01	0.000000000e+00	-8.170114000e-15
1.107400000e+10	-6.209200000e-01	0.000000000e+00	2.019868700e-14
1.095000000e+10	-7.026900000e-01	0.000000000e+00	6.252160000e-15
1.095100000e+10	-7.026900000e-01	0.000000000e+00	-5.680655600e-14
1.095200000e+10	-7.026900000e-01	0.000000000e+00	-4.776994700e-14
1.095300000e+10	-7.026900000e-01	0.000000000e+00	-1.441013100e-14
1.095400000e+10	-7.026900000e-01	0.000000000e+00	-1.205589400e-14
1.095500000e+10	-7.026900000e-01	0.000000000e+00	-3.932444700e-14
1.095600000e+10	-7.026900000e-01	0.000000000e+00	-6.641830000e-16
1.095700000e+10	-7.026900000e-01	0.000000000e+00	1.123016000e-15
1.095800000e+10	-7.026900000e-01	0.000000000e+00	-3.904537300e-14
1.095900000e+10	-7.026900000e-01	0.000000000e+00	5.479969700e-14
1.096000000e+10	-7.026900000e-01	0.000000000e+00	-1.992676900e-14
1.096100000e+10	-7.026900000e-01	0.000000000e+00	-4.234416600e-14
1.096200000e+10	-7.026900000e-01	0.000000000e+00	2.937320000e-15
1.096300000e+10	-7.026900000e-01	0.000000000e+00	-9.396303200e-14
1.096400000e+10	-7.026900000e-01	0.000000000e+00	-1.917238100e-14
1.096500000e+10	-7.026900000e-01	0.000000000e+00	1.305227600e-14
1.096600000e+10	-7.026900000e-01	0.000000000e+00	4.926593000e-14
1.096700000e+10	-7.026900000e-01	0.000000000e+00	-2.578731500e-14
1.096800000e+10	-7.026900000e-01	0.000000000e+00	-4.059318000e-14
1.096900000e+10	-7.026900000e-01	0.000000000e+00	-9.887900000e-17
1.097000000e+10	-7.026900000e-01	0.000000000e+00	-1.068264400e-14
1.097100000e+10	-7.026900000e-01	0.000000000e+00	3.099473800e-14
1.097200000e+10	-7.026900000e-01	0.000000000e+00	4.207550100e-14
1.097300000e+10	-7.026900000e-01	0.000000000e+00	-3.494015000e-14
1.097400000e+10	-7.026900000e-01	0.000000000e+00	2.001870900e-14
1.097500000e+10	-7.026900000e-01	0.000000000e+00	-1.542841400e-14
1.097600000e+10	-7.026900000e-01	0.000000000e+00	1.573394200e-14
1.097700000e+10	-7.026900000e-01	0.000000000e+00	-4.213361500e-14
1.097800000e+10	-7.026900000e-01	0.000000000e+00	-1.114711700e-14
1.097900000e+10	-7.026900000e-01	0.000000000e+00	6.913350100e-14
1.098000000e+10	-7.026900000e-01	0.000000000e+00	-3.494904000e-14
1.098100000e+10	-7.026900000e-01	0.000000000e+00	-5.740460200e-14
1.098200000e+10	-7.026900000e-01	0.000000000e+00	-2.912253800e-14
1.098300000e+10	-7.026900000e-01	0.000000000e+00	-2.492927800e-14
1.098400000e+10	-7.026900000e-01	0.000000000e+00	-3.260326000e-14
1.098500000e+10	-7.026900000e-01	0.000000000e+00	3.355172100e-14
1.098600000e+10	-7.026900000e-01	0.000000000e+00	3.111833700e-14
1.098700000e+10	-7.026900000e-01	0.000000000e+00	8.286340000e-15
1.098800000e+10	-7.026900000e-01	0.000000000e+00	-1.303731400e-14
1.098900000e+10	-7.026900000e-01	0.000000000e+00	3.867132000e-15
1.099000000e+10	-7.026900000e-01	0.000000000e+00	-4.300639700e-14
1.099100000e+10	-7.026900000e-01	0.000000000e+00	5.366106800e-14
1.099200000e+10	-7.026900000e-01	0.000000000e+00	1.086760900e-14
1.099300000e+10	-7.026900000e-01	0.000000000e+00	2.114020700e-14
1.099400000e+10	-7.026900000e-01	0.000000000e+00	1.458425400e-14
1.099500000e+10	-7.026900000e-01	0.000000000e+00	-2.035437800e-14
